radius,method,pred,seed,n,rmse
1,mean,bucket_0.01_0.05,2,2644,0.06420858702838471
1,mean,bucket_0.01_0.05,70404,2644,0.06712137415502026
1,mean,bucket_0.01_0.05,-1,10576,0.06574673908908668
1,mean,bucket_0.02_0,0,2644,0.06964014679247056
1,mean,bucket_0.02_0,1,2644,0.0619390901299564
1,mean,bucket_0.02_0,2,2644,0.06429008954788813
1,mean,bucket_0.02_0,70404,2644,0.06715937261236124
1,mean,bucket_0.02_0,-1,10576,0.06582134508494407
1,mean,bucket_0.02_0.005,0,2644,0.06964014679247056
1,mean,bucket_0.02_0.005,1,2644,0.0619390901299564
1,mean,bucket_0.02_0.005,2,2644,0.06429008954788813
1,mean,bucket_0.02_0.005,70404,2644,0.06715937261236124
1,mean,bucket_0.02_0.005,-1,10576,0.06582134508494407
1,mean,bucket_0.02_0.01,0,2644,0.06964014679247056
1,mean,bucket_0.02_0.01,1,2644,0.0619390901299564
1,mean,bucket_0.02_0.01,2,2644,0.06429008954788813
1,mean,bucket_0.02_0.01,70404,2644,0.06715937261236124
1,mean,bucket_0.02_0.01,-1,10576,0.06582134508494407
1,mean,bucket_0.02_0.02,0,2644,0.06964014679247056
1,mean,bucket_0.02_0.02,1,2644,0.0619390901299564
1,mean,bucket_0.02_0.02,2,2644,0.06429008954788813
1,mean,bucket_0.02_0.02,70404,2644,0.06715937261236124
1,mean,bucket_0.02_0.02,-1,10576,0.06582134508494407
1,mean,bucket_0.02_0.03,0,2644,0.06964014679247056
1,mean,bucket_0.02_0.03,1,2644,0.0619390901299564
1,mean,bucket_0.02_0.03,2,2644,0.06429008954788813
1,mean,bucket_0.02_0.03,70404,2644,0.06715937261236124
1,mean,bucket_0.02_0.03,-1,10576,0.06582134508494407
1,mean,bucket_0.02_0.05,0,2644,0.06964014679247056
1,mean,bucket_0.02_0.05,1,2644,0.0619390901299564
1,mean,bucket_0.02_0.05,2,2644,0.06429008954788813
1,mean,bucket_0.02_0.05,70404,2644,0.06715937261236124
1,mean,bucket_0.02_0.05,-1,10576,0.06582134508494407
1,mean,bucket_0.03_0,0,2644,0.06973587812773467
1,mean,bucket_0.03_0,1,2644,0.06212484006168594
1,mean,bucket_0.03_0,2,2644,0.06442400768368764
1,mean,bucket_0.03_0,70404,2644,0.06724915924586489
1,mean,bucket_0.03_0,-1,10576,0.06594598288796645
1,mean,bucket_0.03_0.005,0,2644,0.06973587812773467
1,mean,bucket_0.03_0.005,1,2644,0.06212484006168594
1,mean,bucket_0.03_0.005,2,2644,0.06442400768368764
1,mean,bucket_0.03_0.005,70404,2644,0.06724915924586489
1,mean,bucket_0.03_0.005,-1,10576,0.06594598288796645
1,mean,bucket_0.03_0.01,0,2644,0.06973587812773467
1,mean,bucket_0.03_0.01,1,2644,0.06212484006168594
1,mean,bucket_0.03_0.01,2,2644,0.06442400768368764
1,mean,bucket_0.03_0.01,70404,2644,0.06724915924586489
1,mean,bucket_0.03_0.01,-1,10576,0.06594598288796645
1,mean,bucket_0.03_0.02,0,2644,0.06973587812773467
1,mean,bucket_0.03_0.02,1,2644,0.06212484006168594
1,mean,bucket_0.03_0.02,2,2644,0.06442400768368764
1,mean,bucket_0.03_0.02,70404,2644,0.06724915924586489
1,mean,bucket_0.03_0.02,-1,10576,0.06594598288796645
1,mean,bucket_0.03_0.03,0,2644,0.06973587812773467
1,mean,bucket_0.03_0.03,1,2644,0.06212484006168594
1,mean,bucket_0.03_0.03,2,2644,0.06442400768368764
1,mean,bucket_0.03_0.03,70404,2644,0.06724915924586489
1,mean,bucket_0.03_0.03,-1,10576,0.06594598288796645
1,mean,bucket_0.03_0.05,0,2644,0.06973587812773467
1,mean,bucket_0.03_0.05,1,2644,0.06212484006168594
1,mean,bucket_0.03_0.05,2,2644,0.06442400768368764
1,mean,bucket_0.03_0.05,70404,2644,0.06724915924586489
1,mean,bucket_0.03_0.05,-1,10576,0.06594598288796645
1,median,local_plus_direct_-0.1,0,2644,0.07194951006843309
1,median,local_plus_direct_-0.1,1,2644,0.06374487382356066
1,median,local_plus_direct_-0.1,2,2644,0.0667381173184706
1,median,local_plus_direct_-0.1,70404,2644,0.07006342317388208
1,median,local_plus_direct_-0.1,-1,10576,0.06819640846101363
1,median,local_plus_direct_-0.05,0,2644,0.07022254378272608
1,median,local_plus_direct_-0.05,1,2644,0.06209572558619793
1,median,local_plus_direct_-0.05,2,2644,0.06482247110414942
1,median,local_plus_direct_-0.05,70404,2644,0.06797751316937767
1,median,local_plus_direct_-0.05,-1,10576,0.06635129962580702
1,median,local_plus_direct_-0.03,0,2644,0.06983343513686761
1,median,local_plus_direct_-0.03,1,2644,0.061790394026638655
1,median,local_plus_direct_-0.03,2,2644,0.06440879322881213
1,median,local_plus_direct_-0.03,70404,2644,0.0674872232883146
1,median,local_plus_direct_-0.03,-1,10576,0.06595032109349631
1,median,local_plus_direct_-0.02,0,2644,0.06970528929086182
1,median,local_plus_direct_-0.02,1,2644,0.06171565641697682
1,median,local_plus_direct_-0.02,2,2644,0.06427992584665522
1,median,local_plus_direct_-0.02,70404,2644,0.06731838719805112
1,median,local_plus_direct_-0.02,-1,10576,0.0658242427299762
1,median,local_plus_direct_-0.01,0,2644,0.0696217698669226
1,median,local_plus_direct_-0.01,1,2644,0.061693166418168445
1,median,local_plus_direct_-0.01,2,2644,0.06420349892778168
1,median,local_plus_direct_-0.01,70404,2644,0.06720097343854925
1,median,local_plus_direct_-0.01,-1,10576,0.06574818957157835
1,median,local_plus_direct_0,0,2644,0.0695830375584099
1,median,local_plus_direct_0,1,2644,0.06172298114261614
1,median,local_plus_direct_0,2,2644,0.06417969981502238
1,median,local_plus_direct_0,70404,2644,0.06713525181000239
1,median,local_plus_direct_0,-1,10576,0.065722335284372
1,median,local_plus_direct_0.005,0,2644,0.06958049332353063
1,median,local_plus_direct_0.005,1,2644,0.06175748429432758
1,median,local_plus_direct_0.005,2,2644,0.0641875590360523
1,median,local_plus_direct_0.005,70404,2644,0.06712182766045692
1,median,local_plus_direct_0.005,-1,10576,0.06572825572194349
1,median,local_plus_direct_0.01,0,2644,0.06958916714891612
1,median,local_plus_direct_0.01,1,2644,0.06180502489502042
1,median,local_plus_direct_0.01,2,2644,0.06420858702838471
1,median,local_plus_direct_0.01,70404,2644,0.06712137415502026
1,median,local_plus_direct_0.01,-1,10576,0.06574673908908668
1,median,local_plus_direct_0.015,0,2644,0.06960905484099589
1,median,local_plus_direct_0.015,1,2644,0.06186557288881818
1,median,local_plus_direct_0.015,2,2644,0.06424277086078437
1,median,local_plus_direct_0.015,70404,2644,0.06713389155655176
1,median,local_plus_direct_0.015,-1,10576,0.0657777747953603
1,median,local_plus_direct_0.02,0,2644,0.06964014679247056
1,median,local_plus_direct_0.02,1,2644,0.0619390901299564
1,median,local_plus_direct_0.02,2,2644,0.06429008954788813
1,median,local_plus_direct_0.02,70404,2644,0.06715937261236124
1,median,local_plus_direct_0.02,-1,10576,0.06582134508494407
1,median,local_plus_direct_0.03,0,2644,0.06973587812773467
1,median,local_plus_direct_0.03,1,2644,0.06212484006168594
1,median,local_plus_direct_0.03,2,2644,0.06442400768368764
1,median,local_plus_direct_0.03,70404,2644,0.06724915924586489
1,median,local_plus_direct_0.03,-1,10576,0.06594598288796645
1,median,local_plus_direct_0.05,0,2644,0.0700607763352802
1,median,local_plus_direct_0.05,1,2644,0.06264942724357282
1,median,local_plus_direct_0.05,2,2644,0.06484766478531233
1,median,local_plus_direct_0.05,70404,2644,0.06758315236463168
1,median,local_plus_direct_0.05,-1,10576,0.06634411282528982
1,median,local_plus_direct_0.08,0,2644,0.07087649713183251
1,median,local_plus_direct_0.08,1,2644,0.06380866967867618
1,median,local_plus_direct_0.08,2,2644,0.06586426433710431
1,median,local_plus_direct_0.08,70404,2644,0.06846367133490383
1,median,local_plus_direct_0.08,-1,10576,0.06730601715515998
1,median,local_plus_direct_0.1,0,2644,0.07163341015097709
1,median,local_plus_direct_0.1,1,2644,0.064819380855762
1,median,local_plus_direct_0.1,2,2644,0.06678704993734823
1,median,local_plus_direct_0.1,70404,2644,0.06929620220862531
1,median,local_plus_direct_0.1,-1,10576,0.06818242307269332
1,median,bucket_0_0,0,2644,0.0695830375584099
1,median,bucket_0_0,1,2644,0.06172298114261614
1,median,bucket_0_0,2,2644,0.06417969981502238
1,median,bucket_0_0,70404,2644,0.06713525181000239
1,median,bucket_0_0,-1,10576,0.065722335284372
1,median,bucket_0_0.005,0,2644,0.0695830375584099
1,median,bucket_0_0.005,1,2644,0.06172298114261614
1,median,bucket_0_0.005,2,2644,0.06417969981502238
1,median,bucket_0_0.005,70404,2644,0.06713525181000239
1,median,bucket_0_0.005,-1,10576,0.065722335284372
1,median,bucket_0_0.01,0,2644,0.0695830375584099
1,median,bucket_0_0.01,1,2644,0.06172298114261614
1,median,bucket_0_0.01,2,2644,0.06417969981502238
1,median,bucket_0_0.01,70404,2644,0.06713525181000239
1,median,bucket_0_0.01,-1,10576,0.065722335284372
1,median,bucket_0_0.02,0,2644,0.0695830375584099
1,median,bucket_0_0.02,1,2644,0.06172298114261614
1,median,bucket_0_0.02,2,2644,0.06417969981502238
1,median,bucket_0_0.02,70404,2644,0.06713525181000239
1,median,bucket_0_0.02,-1,10576,0.065722335284372
1,median,bucket_0_0.03,0,2644,0.0695830375584099
1,median,bucket_0_0.03,1,2644,0.06172298114261614
1,median,bucket_0_0.03,2,2644,0.06417969981502238
1,median,bucket_0_0.03,70404,2644,0.06713525181000239
1,median,bucket_0_0.03,-1,10576,0.065722335284372
1,median,bucket_0_0.05,0,2644,0.0695830375584099
1,median,bucket_0_0.05,1,2644,0.06172298114261614
1,median,bucket_0_0.05,2,2644,0.06417969981502238
1,median,bucket_0_0.05,70404,2644,0.06713525181000239
1,median,bucket_0_0.05,-1,10576,0.065722335284372
1,median,bucket_0.005_0,0,2644,0.06958049332353063
1,median,bucket_0.005_0,1,2644,0.06175748429432758
1,median,bucket_0.005_0,2,2644,0.0641875590360523
1,median,bucket_0.005_0,70404,2644,0.06712182766045692
1,median,bucket_0.005_0,-1,10576,0.06572825572194349
1,median,bucket_0.005_0.005,0,2644,0.06958049332353063
1,median,bucket_0.005_0.005,1,2644,0.06175748429432758
1,median,bucket_0.005_0.005,2,2644,0.0641875590360523
1,median,bucket_0.005_0.005,70404,2644,0.06712182766045692
1,median,bucket_0.005_0.005,-1,10576,0.06572825572194349
1,median,bucket_0.005_0.01,0,2644,0.06958049332353063
1,median,bucket_0.005_0.01,1,2644,0.06175748429432758
1,median,bucket_0.005_0.01,2,2644,0.0641875590360523
1,median,bucket_0.005_0.01,70404,2644,0.06712182766045692
1,median,bucket_0.005_0.01,-1,10576,0.06572825572194349
1,median,bucket_0.005_0.02,0,2644,0.06958049332353063
1,median,bucket_0.005_0.02,1,2644,0.06175748429432758
1,median,bucket_0.005_0.02,2,2644,0.0641875590360523
1,median,bucket_0.005_0.02,70404,2644,0.06712182766045692
1,median,bucket_0.005_0.02,-1,10576,0.06572825572194349
1,median,bucket_0.005_0.03,0,2644,0.06958049332353063
1,median,bucket_0.005_0.03,1,2644,0.06175748429432758
1,median,bucket_0.005_0.03,2,2644,0.0641875590360523
1,median,bucket_0.005_0.03,70404,2644,0.06712182766045692
1,median,bucket_0.005_0.03,-1,10576,0.06572825572194349
1,median,bucket_0.005_0.05,0,2644,0.06958049332353063
1,median,bucket_0.005_0.05,1,2644,0.06175748429432758
1,median,bucket_0.005_0.05,2,2644,0.0641875590360523
1,median,bucket_0.005_0.05,70404,2644,0.06712182766045692
1,median,bucket_0.005_0.05,-1,10576,0.06572825572194349
1,median,bucket_0.01_0,0,2644,0.06958916714891612
1,median,bucket_0.01_0,1,2644,0.06180502489502042
1,median,bucket_0.01_0,2,2644,0.06420858702838471
1,median,bucket_0.01_0,70404,2644,0.06712137415502026
1,median,bucket_0.01_0,-1,10576,0.06574673908908668
1,median,bucket_0.01_0.005,0,2644,0.06958916714891612
1,median,bucket_0.01_0.005,1,2644,0.06180502489502042
1,median,bucket_0.01_0.005,2,2644,0.06420858702838471
1,median,bucket_0.01_0.005,70404,2644,0.06712137415502026
1,median,bucket_0.01_0.005,-1,10576,0.06574673908908668
1,median,bucket_0.01_0.01,0,2644,0.06958916714891612
1,median,bucket_0.01_0.01,1,2644,0.06180502489502042
1,median,bucket_0.01_0.01,2,2644,0.06420858702838471
1,median,bucket_0.01_0.01,70404,2644,0.06712137415502026
1,median,bucket_0.01_0.01,-1,10576,0.06574673908908668
1,median,bucket_0.01_0.02,0,2644,0.06958916714891612
1,median,bucket_0.01_0.02,1,2644,0.06180502489502042
1,median,bucket_0.01_0.02,2,2644,0.06420858702838471
1,median,bucket_0.01_0.02,70404,2644,0.06712137415502026
1,median,bucket_0.01_0.02,-1,10576,0.06574673908908668
1,median,bucket_0.01_0.03,0,2644,0.06958916714891612
1,median,bucket_0.01_0.03,1,2644,0.06180502489502042
1,median,bucket_0.01_0.03,2,2644,0.06420858702838471
1,median,bucket_0.01_0.03,70404,2644,0.06712137415502026
1,median,bucket_0.01_0.03,-1,10576,0.06574673908908668
