group,min_n,shrink,clip,stat,prior,exact_rmse_pooled,exact_baseline_rmse_pooled,exact_delta_rmse_pooled,exact_coverage_weighted,exact_improved_runs,exact_runs,random_rmse_pooled,random_baseline_rmse_pooled,random_delta_rmse_pooled,random_coverage_weighted,random_improved_runs,random_runs,random2025_rmse_pooled,random2025_baseline_rmse_pooled,random2025_delta_rmse_pooled,random2025_coverage_weighted,random2025_improved_runs,random2025_runs,worst_delta,mean_delta,all_three_improve
aoi_year,30,0.5,0.02,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.02,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.03,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.03,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.04,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.04,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.75,0.01,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.75,0.01,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.75,0.02,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.75,0.02,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.75,0.03,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.75,0.03,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.75,0.04,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.75,0.04,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,1.0,0.01,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,1.0,0.01,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,1.0,0.02,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,1.0,0.02,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,1.0,0.03,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,1.0,0.03,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,1.0,0.04,median,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,1.0,0.04,median,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.1,0.01,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.1,0.01,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.1,0.02,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.1,0.02,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.1,0.03,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.1,0.03,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.1,0.04,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.1,0.04,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.25,0.01,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.25,0.01,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.25,0.02,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.25,0.02,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.25,0.03,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.25,0.03,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.25,0.04,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.25,0.04,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.01,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.01,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.02,mean,zero,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
aoi_year,30,0.5,0.02,mean,global,0.06260634739886303,0.06260634739886303,0.0,0.0,0,6,0.06944909527214516,0.06944909527214516,0.0,0.0,0,3,0.062438112899989955,0.062438112899989955,0.0,0.0,0,3,0.0,0.0,False
