a,b,n,exact,temp_rmse,prec_rmse,temp_corr,prec_corr
AOI-0015,AOI-0075,3195,0.0,2.850153986929359,3.8509255559797357,0.9579679678329465,0.3620869017220873
AOI-0019,AOI-0020,3195,1.0,0.0,0.0,1.0,0.9999999999999999
AOI-0019,AOI-0021,3195,1.0,0.0,0.0,1.0,0.9999999999999999
AOI-0019,AOI-0022,3195,1.0,0.0,0.0,1.0,0.9999999999999999
AOI-0019,AOI-0023,3195,0.0,0.16905017198616218,0.5385103382725834,0.9998369308922402,0.9867050061162586
AOI-0019,AOI-0026,3195,0.0,0.5403511564928019,2.0479836954464066,0.9968408460133442,0.7896705980138999
AOI-0019,AOI-0030,3195,0.0,0.5003506904457465,1.910606327659793,0.9972832521166792,0.8146931901271874
AOI-0019,AOI-0033,3195,0.0,1.2038855478563197,3.103223424757402,0.9864663473592392,0.4568587341924756
AOI-0019,AOI-0037,3195,0.0,1.4341200412739583,3.1711954385223144,0.982133261666427,0.41885597215119236
AOI-0019,AOI-0038,3195,0.0,1.5101188780691115,3.1492662592225984,0.9804562558450761,0.41648162624752566
AOI-0019,AOI-0040,3195,0.0,1.4341200412739583,3.1711954385223144,0.982133261666427,0.41885597215119236
AOI-0019,AOI-0043,3195,0.0,0.8099995135658251,2.1659734499814998,0.9941257370168777,0.7566006241204569
AOI-0019,AOI-0045,3195,0.0,0.8405024812689801,2.217605904418525,0.9936652855959052,0.7415183563333236
AOI-0019,AOI-0048,3195,0.0,0.6937333484916187,2.096467905262461,0.9956050528875499,0.7762277907161769
AOI-0019,AOI-0052,3195,0.0,0.8408593414875503,2.48759057842402,0.9929957874513596,0.6957956971720838
AOI-0019,AOI-0053,3195,0.0,0.7595474677742686,2.5261254172468126,0.9944834531730062,0.7016899406710831
AOI-0019,AOI-0060,3195,0.0,0.9222840020487995,2.592216621523513,0.9915127634622422,0.6755784717078568
AOI-0019,AOI-0063,3195,0.0,1.0428259503302832,3.1399247492879256,0.9885572746347964,0.6391094461658839
